사업자등록번호,사업장명,소재지전체주소,영업상태명,폐업일자,처분일자,위반내용,처분내용상세,처분종류명
0001002739,"한우관","서울특별시 강서구 화곡동 동작대로 125-7",영업중,,,,,
0001002740,"설렁탕집","서울특별시 성북구 하월곡동 한강대로 86-14 2층",영업중,,2018-02-25,"원산지 표시 위반","영업장 내 위생시설 불량",과태료
0001002740,"설렁탕집","서울특별시 성북구 하월곡동 한강대로 86-14 2층",영업중,,2025-12-30,"시설기준 위반","식품 보관기준 위반",과태료
0001002740,"설렁탕집","서울특별시 성북구 하월곡동 한강대로 86-14 2층",영업중,,2023-08-22,"유통기한 경과 제품 사용","식품 보관기준 위반",과태료
0001002740,"설렁탕집","서울특별시 성북구 하월곡동 한강대로 86-14 2층",영업중,,2018-12-09,"시설기준 위반","식품 보관기준 위반",과태료
0001002740,"설렁탕집","서울특별시 성북구 하월곡동 한강대로 86-14 2층",영업중,,2026-06-18,"영업자 준수사항 위반","원산지 미표시",영업정지2개월
0001002741,"명동삼겹살식당","서울특별시 관악구 인헌동 경의로 200-19 4층",영업중,,,,,
0001002742,"냉면가","서울특별시 마포구 연남동 아리수로 8-12",영업중,,,,,
0001002743,"순대코너","서울특별시 송파구 마천동 수유로 24-11",영업중,,,,,
0001002744,"조씨한식관","서울특별시 강동구 명일동 새창로 161-6 5층",영업중,,2026-01-17,"위생관리기준 위반","원산지 미표시",시정명령
0001002744,"조씨한식관","서울특별시 강동구 명일동 새창로 161-6 5층",영업중,,2023-10-06,"위생관리기준 위반","식품 보관기준 위반",과태료
0001002745,"황금버거집","서울특별시 동작구 상도동 동작대로 34-5",영업중,,,,,
0001002746,"사장님해물탕나라","서울특별시 강서구 방화동 당산로 178-12 1층",영업중,,2019-06-06,"위생관리기준 위반","조리사 면허 미취득 조리",과태료
0001002747,"홍대 우동","서울특별시 동대문구 장안동 강서로 67-11",영업중,,2021-03-09,"위생관리기준 위반","조리사 면허 미취득 조리",과태료
0001002747,"홍대 우동","서울특별시 동대문구 장안동 강서로 67-11",영업중,,2025-07-17,"위생관리기준 위반","식품 보관기준 위반",과태료
0001002748,"삼치구이원","서울특별시 강북구 번동 이태원로 121-4",영업중,,,,,
0001002749,"서씨한식백반직영점","서울특별시 도봉구 쌍문동 영등포로 196-20",폐업,2020-01-19,,,,
0001002750,"고기구이133번지왕국","서울특별시 노원구 중계동 오목로 182-4",영업중,,,,,
0001002751,"최씨짬뽕왕국","서울특별시 마포구 서교동 봉천로 21-8",영업중,,,,,
0001002752,"신씨된장찌개집","서울특별시 성동구 옥수동 삼양로 45-6 1층",영업중,,,,,
0001002753,"맛있는김치찌개마당","서울특별시 동대문구 용두동 양천로 92-7",영업중,,,,,
0001002754,"전통한식643번지원","서울특별시 영등포구 영등포동 신림로 13-15",영업중,,,,,
0001002755,"강씨제육볶음왕국","서울특별시 동대문구 휘경동 경의로 40-5 4층",영업중,,,,,
0001002756,"즐거운낙지볶음전문점","서울특별시 동대문구 신설동 신월로 181-12 4층",영업중,,,,,
0001002757,"홍대국밥식당","서울특별시 도봉구 방학동 강남대로 42-18 2층",영업중,,,,,
0001002758,"박씨짜장면직영점","서울특별시 마포구 공덕동 한남대로 200-20",영업중,,,,,
0001002759,"족발식당","서울특별시 관악구 서원동 양천로 97-14",영업중,,,,,
0001002760,"어머니 튀김","서울특별시 노원구 중계동 시청앞로 107-7 1층",영업중,,2026-01-04,"환경위생 불량","음식물 쓰레기 처리 위반",시정명령
0001002760,"어머니 튀김","서울특별시 노원구 중계동 시청앞로 107-7 1층",영업중,,2021-12-11,"영업자 준수사항 위반","식품첨가물 사용기준 위반",과태료
0001002760,"어머니 튀김","서울특별시 노원구 중계동 시청앞로 107-7 1층",영업중,,2021-09-25,"시설기준 위반","원산지 미표시",과태료
0001002761,"신선한 파스타","서울특별시 송파구 방이동 영등포로 119-20",영업중,,,,,
0001002762,"할머니한정식전문점","서울특별시 서대문구 홍은동 천호대로 80-2 2층",영업중,,2024-07-02,"위생관리기준 위반","음식물 쓰레기 처리 위반",경고
0001002762,"할머니한정식전문점","서울특별시 서대문구 홍은동 천호대로 80-2 2층",영업중,,2025-01-02,"위생관리기준 위반","유통기한 경과 식품 보관",경고
0001002763,"황태해장국823번지전문점","서울특별시 강북구 수유동 양재천로 151-3 4층",폐업,2020-02-21,,,,
0001002764,"황금 곱창","서울특별시 동작구 신대방동 당산로 29-3",영업중,,,,,
0001002765,"진짜한식백반왕국","서울특별시 용산구 이태원동 서초대로 35-12",영업중,,2024-05-13,"시설기준 위반","영업장 내 위생시설 불량",과태료
0001002766,"신선한 오삼불고기","서울특별시 동대문구 휘경동 방화대로 85-15",영업중,,2020-02-19,"위생관리기준 위반","유통기한 경과 식품 보관",시정명령
0001002767,"오삼불고기262번지나라","서울특별시 용산구 청파동 홍대앞길 86-6",영업중,,2022-10-23,"식품표시 위반","원산지 허위표시",과태료
0001002768,"고향갈치조림세상","서울특별시 서초구 반포동 언주로 32-19 4층",영업중,,,,,
0001002769,"강남 황태해장국","서울특별시 도봉구 방학동 시청앞로 27-2",영업중,,,,,
0001002770,"해장국407번지직영점","서울특별시 동작구 노량진동 강남대로 155-10",폐업,2020-10-18,,,,
0001002771,"최씨삼치구이왕국","서울특별시 금천구 독산동 한강대로 94-5",영업중,,2025-12-19,"영업자 준수사항 위반","원산지 미표시",경고
0001002771,"최씨삼치구이왕국","서울특별시 금천구 독산동 한강대로 94-5",영업중,,2026-01-19,"영업자 준수사항 위반","조리사 면허 미취득 조리",과태료
0001002772,"오씨치킨본점","서울특별시 도봉구 방학동 테헤란로 194-20 1층",영업중,,,,,
0001002773,"어머니설렁탕세상","서울특별시 종로구 삼청동 성내로 9-4",영업중,,,,,
0001002774,"한우본점","서울특별시 금천구 가산동 올림픽로 60-15",폐업,2024-07-09,,,,
0001002775,"치킨명가","서울특별시 광진구 자양동 용산로 118-17",영업중,,,,,
0001002776,"명동 한식","서울특별시 은평구 녹번동 시청앞로 185-4 3층",영업중,,,,,
0001002777,"명동 해장국","서울특별시 중구 을지로 삼양로 97-3 5층",영업중,,,,,
0001002778,"원조라멘직영점","서울특별시 서초구 방배동 양천로 126-7",영업중,,,,,
0001002779,"제육볶음관","서울특별시 종로구 삼청동 용산로 105-20 3층",영업중,,,,,
0001002780,"최씨한식본점","서울특별시 광진구 화양동 우이천로 70-1 5층",영업중,,,,,
0001002781,"할머니탕수육직영점","서울특별시 서대문구 창천동 강서로 34-2",영업중,,,,,
0001002782,"청담 전통한식","서울특별시 강남구 삼성동 마포대로 160-4",영업중,,,,,
0001002783,"한씨순대국밥전문점","서울특별시 서대문구 북가좌동 종로 116-16",영업중,,,,,
0001002784,"전통탕수육마당","서울특별시 서대문구 홍은동 홍대앞길 34-3 5층",영업중,,2024-04-19,"원산지 표시 위반","유통기한 경과 식품 보관",과태료
0001002784,"전통탕수육마당","서울특별시 서대문구 홍은동 홍대앞길 34-3 5층",영업중,,2019-05-19,"위생관리기준 위반","영업장 내 위생시설 불량",과태료
0001002784,"전통탕수육마당","서울특별시 서대문구 홍은동 홍대앞길 34-3 5층",영업중,,2022-05-08,"위생관리기준 위반","유통기한 경과 식품 보관",시정명령
0001002784,"전통탕수육마당","서울특별시 서대문구 홍은동 홍대앞길 34-3 5층",영업중,,2025-07-04,"유통기한 경과 제품 사용","종업원 건강진단 미실시",경고
0001002784,"전통탕수육마당","서울특별시 서대문구 홍은동 홍대앞길 34-3 5층",영업중,,2023-04-09,"영업자 준수사항 위반","위생모 미착용",과태료
0001002785,"순대98번지명가","서울특별시 영등포구 영등포동 한남대로 110-16 1층",영업중,,2024-04-09,"영업자 준수사항 위반","원산지 미표시",과태료
0001002786,"신선한 삼겹살","서울특별시 도봉구 방학동 선유로 120-4 5층",영업중,,,,,
0001002787,"이태원 비빔밥","서울특별시 구로구 고척동 당산로 50-13 2층",영업중,,,,,
0001002788,"순두부찌개664번지관","서울특별시 성동구 마장동 공항대로 23-9",영업중,,,,,
0001002789,"강씨떡볶이마당","서울특별시 구로구 구로동 새창로 55-8 5층",영업중,,,,,
0001002790,"한씨튀김본점","서울특별시 마포구 서교동 한남대로 106-16 4층",영업중,,,,,
0001002791,"고향설렁탕전문점","서울특별시 관악구 인헌동 서강대로 20-17",영업중,,2025-09-04,"원산지 표시 위반","종업원 건강진단 미실시",과태료
0001002792,"전통 전통한식","서울특별시 관악구 봉천동 삼양로 125-9",영업중,,,,,
0001002793,"즐거운 순대","서울특별시 구로구 고척동 통일로 126-4 5층",영업중,,,,,
0001002794,"행복한된장찌개집","서울특별시 관악구 남현동 새창로 185-3",영업중,,,,,
0001002795,"튀김식당","서울특별시 송파구 방이동 을지로 77-2 3층",영업중,,,,,
0001002796,"박씨피자왕국","서울특별시 중구 신당동 테헤란로 37-7",영업중,,,,,
0001002797,"라멘가","서울특별시 광진구 자양동 목동로 127-5 3층",영업중,,2025-09-11,"원산지 표시 위반","위생모 미착용",영업정지1개월
0001002797,"라멘가","서울특별시 광진구 자양동 목동로 127-5 3층",영업중,,2026-01-13,"시설기준 위반","원산지 허위표시",과태료
0001002797,"라멘가","서울특별시 광진구 자양동 목동로 127-5 3층",영업중,,2025-07-26,"시설기준 위반","위생모 미착용",과태료
0001002797,"라멘가","서울특별시 광진구 자양동 목동로 127-5 3층",영업중,,2020-09-23,"위생관리기준 위반","식품 보관기준 위반",영업정지2개월
0001002798,"강남순두부찌개원","서울특별시 용산구 한남동 오목로 8-10",폐업,2019-12-16,,,,
0001002799,"즐거운아구찜관","서울특별시 동대문구 이문동 선유로 44-12",영업중,,,,,
0001002800,"할머니해장국본점","서울특별시 강서구 마곡동 성내로 94-11 3층",영업중,,2025-12-28,"위생관리기준 위반","위생모 미착용",과태료
0001002801,"황금 순두부찌개","서울특별시 마포구 합정동 남부순환로 132-11",영업중,,,,,
0001002802,"압구정회왕국","서울특별시 동작구 대방동 신월로 195-20 2층",영업중,,,,,
0001002803,"강씨버거코너","서울특별시 동작구 신대방동 수유로 191-12",영업중,,2021-06-01,"시설기준 위반","위생모 미착용",영업정지3개월
0001002803,"강씨버거코너","서울특별시 동작구 신대방동 수유로 191-12",영업중,,2025-07-08,"위생관리기준 위반","냉장·냉동설비 미작동",과태료
0001002803,"강씨버거코너","서울특별시 동작구 신대방동 수유로 191-12",영업중,,2025-11-17,"원산지 표시 위반","음식물 쓰레기 처리 위반",시정명령
0001002804,"정씨전통한식원","서울특별시 금천구 가산동 목동로 189-5 3층",영업중,,,,,
0001002805,"옛날비빔밥가","서울특별시 관악구 신림동 아리수로 194-10",영업중,,,,,
0001002806,"짬뽕254번지전문점","서울특별시 용산구 한남동 강서로 51-14",영업중,,,,,
0001002807,"명동 곱창","서울특별시 서초구 방배동 성내로 137-1 5층",영업중,,,,,
0001002808,"순대직영점","서울특별시 송파구 거여동 서강대로 78-17",영업중,,,,,
0001002809,"순대국밥집","서울특별시 영등포구 당산동 신월로 153-13 1층",영업중,,,,,
0001002810,"김치찌개863번지세상","서울특별시 영등포구 여의도동 세종대로 146-20",영업중,,,,,
0001002811,"된장찌개왕국","서울특별시 용산구 청파동 봉천로 117-4",영업중,,,,,
0001002812,"아버지의 설렁탕","서울특별시 성북구 상월곡동 보라매로 175-6",영업중,,,,,
0001002813,"윤씨순두부찌개원","서울특별시 양천구 신정동 인수봉로 171-19",폐업,2020-11-21,,,,
0001002814,"원조 갈비탕","서울특별시 용산구 후암동 경인로 48-18",영업중,,,,,
0001002815,"신사족발원","서울특별시 중구 필동 아리수로 199-7 1층",영업중,,,,,
0001002816,"제육볶음직영점","서울특별시 강동구 성내동 길동로 5-15",영업중,,,,,
0001002817,"삼치구이전문점","서울특별시 성동구 행당동 오목로 64-7",영업중,,,,,
0001002818,"어머니 아구찜","서울특별시 성동구 금호동 성내로 147-6",영업중,,2024-01-22,"영업자 준수사항 위반","종업원 건강진단 미실시",경고
0001002819,"원조 짜장면","서울특별시 종로구 청운동 동작대로 115-12",영업중,,,,,
0001002820,"짜장면세상","서울특별시 구로구 고척동 천호대로 25-8",영업중,,,,,
0001002821,"초밥326번지왕국","서울특별시 강동구 성내동 신림로 101-11",영업중,,,,,
0001002822,"진짜한식백반원","서울특별시 중랑구 면목동 보라매로 4-17 3층",영업중,,,,,
0001002823,"한식뷔페나라","서울특별시 은평구 진관동 신월로 79-15 1층",영업중,,,,,
0001002824,"청담 순두부찌개","서울특별시 서대문구 연희동 남대문로 46-15",영업중,,,,,
0001002825,"압구정된장찌개명가","서울특별시 종로구 사직동 경인로 96-12 4층",영업중,,,,,
0001002826,"최씨칼국수전문점","서울특별시 중구 을지로 천호대로 87-11",영업중,,,,,
0001002827,"행복한 보쌈","서울특별시 중랑구 상봉동 신림로 35-2",영업중,,,,,
0001002828,"짬뽕72번지명가","서울특별시 은평구 녹번동 한남대로 114-15",영업중,,2019-09-24,"원산지 표시 위반","음식물 쓰레기 처리 위반",과태료
0001002829,"할머니우동가","서울특별시 성동구 행당동 당산로 67-12",영업중,,,,,
0001002830,"김치찌개782번지집","서울특별시 은평구 불광동 테헤란로 147-12 1층",영업중,,,,,
0001002831,"초밥995번지원","서울특별시 강서구 마곡동 성내로 107-20",폐업,2024-12-21,2018-07-13,"영업자 준수사항 위반","식품 보관기준 위반",폐쇄명령
0001002832,"한식왕국","서울특별시 금천구 가산동 우이천로 103-16 1층",영업중,,2025-10-04,"영업자 준수사항 위반","조리장 청결 불량",시정명령
0001002833,"고향떡볶이명가","서울특별시 영등포구 영등포동 남부순환로 3-9",영업중,,,,,
0001002834,"정씨고기구이나라","서울특별시 동작구 노량진동 신림로 17-12 3층",영업중,,2018-02-07,"시설기준 위반","위생모 미착용",영업정지15일
0001002834,"정씨고기구이나라","서울특별시 동작구 노량진동 신림로 17-12 3층",영업중,,2025-12-11,"영업자 준수사항 위반","식품첨가물 사용기준 위반",시정명령
0001002834,"정씨고기구이나라","서울특별시 동작구 노량진동 신림로 17-12 3층",영업중,,2023-10-26,"시설기준 위반","식품첨가물 사용기준 위반",영업정지3개월
0001002835,"황금초밥명가","서울특별시 서대문구 남가좌동 천호대로 60-10",영업중,,,,,
0001002836,"장씨보쌈전문점","서울특별시 중랑구 묵동 세종대로 162-2",영업중,,,,,
0001002837,"보쌈전문점","서울특별시 성동구 성수동 남부순환로 195-20",영업중,,,,,
0001002838,"임씨비빔밥관","서울특별시 마포구 아현동 강남대로 23-19",영업중,,,,,
0001002839,"떡볶이346번지마당","서울특별시 용산구 이태원동 목동로 168-7",영업중,,2024-09-27,"시설기준 위반","종업원 건강진단 미실시",시정명령
0001002839,"떡볶이346번지마당","서울특별시 용산구 이태원동 목동로 168-7",영업중,,2022-10-01,"시설기준 위반","조리장 청결 불량",시정명령
0001002839,"떡볶이346번지마당","서울특별시 용산구 이태원동 목동로 168-7",영업중,,2020-06-13,"영업자 준수사항 위반","식품 보관기준 위반",시정명령
0001002840,"박씨삼치구이왕국","서울특별시 강남구 논현동 목동로 69-6",폐업,2020-05-17,2019-04-25,"시설기준 위반","원산지 허위표시",과태료
0001002840,"박씨삼치구이왕국","서울특별시 강남구 논현동 목동로 69-6",폐업,2020-05-17,2021-12-07,"위생관리기준 위반","종업원 건강진단 미실시",시정명령
0001002840,"박씨삼치구이왕국","서울특별시 강남구 논현동 목동로 69-6",폐업,2020-05-17,2024-03-21,"원산지 표시 위반","조리사 면허 미취득 조리",폐쇄명령
0001002841,"홍대한우가","서울특별시 강남구 삼성동 아리수로 124-9",영업중,,,,,
0001002842,"진짜 황태해장국","서울특별시 중랑구 면목동 이태원로 34-1 4층",영업중,,2020-03-14,"영업자 준수사항 위반","원산지 미표시",과태료
0001002843,"순대관","서울특별시 강북구 수유동 신림로 110-10 1층",영업중,,,,,
0001002844,"신선한낙지볶음본점","서울특별시 서대문구 연희동 홍대앞길 166-14",영업중,,,,,
0001002845,"탕수육직영점","서울특별시 용산구 후암동 삼양로 76-9 4층",영업중,,2026-01-19,"시설기준 위반","조리장 청결 불량",과태료
0001002846,"오씨짬뽕본점","서울특별시 마포구 서교동 을지로 15-7",영업중,,,,,
0001002847,"참 낙지볶음","서울특별시 성북구 종암동 새창로 59-5 1층",영업중,,,,,
0001002848,"갈비탕원","서울특별시 노원구 월계동 노량진로 187-1 4층",영업중,,,,,
0001002849,"고등어구이746번지코너","서울특별시 마포구 서교동 천호대로 56-12 5층",영업중,,2019-09-10,"영업자 준수사항 위반","음식물 쓰레기 처리 위반",과태료
0001002849,"고등어구이746번지코너","서울특별시 마포구 서교동 천호대로 56-12 5층",영업중,,2023-04-23,"영업자 준수사항 위반","위생모 미착용",시정명령
0001002849,"고등어구이746번지코너","서울특별시 마포구 서교동 천호대로 56-12 5층",영업중,,2025-09-19,"유통기한 경과 제품 사용","식품 보관기준 위반",과태료
0001002849,"고등어구이746번지코너","서울특별시 마포구 서교동 천호대로 56-12 5층",영업중,,2025-09-04,"위생관리기준 위반","음식물 쓰레기 처리 위반",영업정지1개월
0001002849,"고등어구이746번지코너","서울특별시 마포구 서교동 천호대로 56-12 5층",영업중,,2018-03-01,"위생관리기준 위반","음식물 쓰레기 처리 위반",영업정지3개월
0001002849,"고등어구이746번지코너","서울특별시 마포구 서교동 천호대로 56-12 5층",영업중,,2018-10-11,"위생관리기준 위반","식품접촉 기구 위생 불량",경고
0001002850,"스테이크759번지식당","서울특별시 도봉구 쌍문동 새창로 117-12 5층",영업중,,,,,
0001002851,"아버지의초밥나라","서울특별시 중구 황학동 양천로 40-1",영업중,,,,,
0001002852,"회가","서울특별시 송파구 잠실동 서초대로 143-2",영업중,,2021-03-15,"영업자 준수사항 위반","영업장 내 위생시설 불량",과태료
0001002853,"이태원 칼국수","서울특별시 영등포구 문래동 홍대앞길 98-8 5층",영업중,,,,,
0001002854,"사장님 순두부찌개","서울특별시 서초구 내곡동 언주로 148-6",영업중,,,,,
0001002855,"박씨갈비탕식당","서울특별시 서대문구 창천동 방화대로 73-4 3층",영업중,,2022-11-25,"위생관리기준 위반","식품 보관기준 위반",과태료
0001002856,"김씨닭갈비나라","서울특별시 성북구 종암동 테헤란로 181-15",영업중,,,,,
0001002857,"신씨고등어구이왕국","서울특별시 서초구 내곡동 신림로 151-9",영업중,,2026-04-17,"원산지 표시 위반","영업장 내 위생시설 불량",경고
0001002857,"신씨고등어구이왕국","서울특별시 서초구 내곡동 신림로 151-9",영업중,,2026-05-26,"시설기준 위반","원산지 허위표시",경고
0001002857,"신씨고등어구이왕국","서울특별시 서초구 내곡동 신림로 151-9",영업중,,2021-03-15,"위생관리기준 위반","조리장 청결 불량",시정명령
0001002858,"행복한 오삼불고기","서울특별시 강남구 삼성동 양천로 33-4 1층",영업중,,,,,
0001002859,"강남버거전문점","서울특별시 마포구 서교동 선유로 163-7",영업중,,,,,
0001002860,"순대국밥집","서울특별시 은평구 불광동 남부순환로 147-17",영업중,,,,,
0001002861,"이태원 한식","서울특별시 구로구 고척동 세종대로 143-9",영업중,,,,,
0001002862,"짜장면왕국","서울특별시 강남구 삼성동 이태원로 46-9",영업중,,,,,
0001002863,"원조 제육볶음","서울특별시 은평구 구산동 통일로 5-10 5층",영업중,,,,,
0001002864,"신씨아구찜식당","서울특별시 성북구 정릉동 신림로 89-15",폐업,2019-11-03,,,,
0001002865,"고향 갈치조림","서울특별시 강남구 신사동 성내로 104-17",영업중,,2026-06-11,"시설기준 위반","냉장·냉동설비 미작동",과태료
0001002866,"사장님곱창마당","서울특별시 강북구 인수동 동작대로 20-19 2층",영업중,,2025-09-13,"위생관리기준 위반","냉장·냉동설비 미작동",시정명령
0001002867,"해물탕관","서울특별시 영등포구 당산동 방화대로 44-4",영업중,,,,,
0001002868,"옛날 제육볶음","서울특별시 강남구 압구정동 인수봉로 12-14 5층",영업중,,2025-01-13,"위생관리기준 위반","원산지 미표시",과태료
0001002869,"진짜회관","서울특별시 서초구 양재동 길동로 5-14 2층",영업중,,,,,
0001002870,"서씨비빔밥원","서울특별시 강동구 길동 홍대앞길 61-13",영업중,,2021-04-07,"시설기준 위반","식품첨가물 사용기준 위반",영업정지1개월
0001002871,"강씨떡볶이전문점","서울특별시 서대문구 창천동 인수봉로 7-10 3층",영업중,,,,,
0001002872,"행복한전통한식직영점","서울특별시 종로구 인의동 방화대로 104-4",영업중,,2023-11-07,"원산지 표시 위반","조리사 면허 미취득 조리",과태료
0001002872,"행복한전통한식직영점","서울특별시 종로구 인의동 방화대로 104-4",영업중,,2019-09-05,"시설기준 위반","조리장 청결 불량",시정명령
0001002872,"행복한전통한식직영점","서울특별시 종로구 인의동 방화대로 104-4",영업중,,2019-09-13,"원산지 표시 위반","원산지 미표시",과태료
0001002872,"행복한전통한식직영점","서울특별시 종로구 인의동 방화대로 104-4",영업중,,2021-04-28,"위생관리기준 위반","조리사 면허 미취득 조리",영업정지15일
0001002872,"행복한전통한식직영점","서울특별시 종로구 인의동 방화대로 104-4",영업중,,2022-08-11,"원산지 표시 위반","위생모 미착용",과태료
0001002872,"행복한전통한식직영점","서울특별시 종로구 인의동 방화대로 104-4",영업중,,2019-09-01,"식품표시 위반","음식물 쓰레기 처리 위반",경고
0001002873,"참 라멘","서울특별시 중랑구 중화동 남대문로 141-5",영업중,,,,,
0001002874,"한씨치킨왕국","서울특별시 관악구 봉천동 테헤란로 84-7",영업중,,,,,
0001002875,"곱창코너","서울특별시 강서구 발산동 공항대로 11-4 2층",폐업,2021-03-28,2026-03-06,"원산지 표시 위반","위생모 미착용",과태료
0001002875,"곱창코너","서울특별시 강서구 발산동 공항대로 11-4 2층",폐업,2021-03-28,2023-11-22,"시설기준 위반","유통기한 경과 식품 보관",과태료
0001002876,"고향 낙지볶음","서울특별시 성동구 왕십리동 서초대로 153-19",영업중,,,,,
0001002877,"고향 피자","서울특별시 강동구 둔촌동 봉천로 93-15 1층",영업중,,,,,
0001002878,"설렁탕직영점","서울특별시 동작구 노량진동 마포대로 150-6 3층",영업중,,2025-05-04,"시설기준 위반","유통기한 경과 식품 보관",과태료
0001002878,"설렁탕직영점","서울특별시 동작구 노량진동 마포대로 150-6 3층",영업중,,2025-02-11,"원산지 표시 위반","유통기한 경과 식품 보관",과태료
0001002878,"설렁탕직영점","서울특별시 동작구 노량진동 마포대로 150-6 3층",영업중,,2019-01-27,"위생관리기준 위반","영업장 내 위생시설 불량",시정명령
0001002879,"홍대된장찌개세상","서울특별시 관악구 남현동 삼양로 172-12 5층",영업중,,,,,
0001002880,"황태해장국명가","서울특별시 광진구 화양동 성내로 35-13",영업중,,,,,
0001002881,"김치찌개왕국","서울특별시 중구 명동 삼양로 147-9 3층",폐업,2022-11-10,,,,
0001002882,"냉면918번지나라","서울특별시 용산구 원효로 봉천로 151-11",영업중,,,,,
0001002883,"강남한정식명가","서울특별시 도봉구 창동 우이천로 179-6",영업중,,2025-06-27,"영업자 준수사항 위반","식품접촉 기구 위생 불량",과태료
0001002883,"강남한정식명가","서울특별시 도봉구 창동 우이천로 179-6",영업중,,2025-08-04,"원산지 표시 위반","원산지 허위표시",시정명령
0001002884,"홍대한식뷔페세상","서울특별시 중랑구 망우동 수유로 168-11",영업중,,,,,
0001002885,"오삼불고기왕국","서울특별시 광진구 군자동 노량진로 110-3",영업중,,,,,
0001002886,"원조 설렁탕","서울특별시 강북구 삼양동 강남대로 104-9 4층",폐업,2020-12-08,,,,
0001002887,"임씨갈치조림원","서울특별시 서대문구 연희동 목동로 33-17 4층",폐업,2023-10-27,2026-02-05,"위생관리기준 위반","원산지 허위표시",시정명령
0001002888,"떡볶이446번지나라","서울특별시 동작구 노량진동 통일로 35-17",영업중,,,,,
0001002889,"이태원초밥식당","서울특별시 구로구 오류동 남대문로 11-15 1층",영업중,,2025-10-27,"위생관리기준 위반","식품첨가물 사용기준 위반",과태료
0001002890,"강남된장찌개왕국","서울특별시 관악구 서원동 강서로 102-2 3층",영업중,,,,,
0001002891,"정씨피자나라","서울특별시 강북구 미아동 신월로 100-14",영업중,,2025-11-23,"시설기준 위반","원산지 허위표시",폐쇄명령
0001002892,"최씨삼치구이코너","서울특별시 동작구 대방동 경인로 112-2 2층",영업중,,,,,
0001002893,"이씨보쌈전문점","서울특별시 강북구 삼양동 영등포로 199-19",영업중,,,,,
0001002894,"삼겹살식당","서울특별시 중구 필동 당산로 168-12 2층",영업중,,2026-01-05,"영업자 준수사항 위반","조리장 청결 불량",시정명령
0001002894,"삼겹살식당","서울특별시 중구 필동 당산로 168-12 2층",영업중,,2025-08-25,"위생관리기준 위반","식품 보관기준 위반",시정명령
0001002895,"고향 라멘","서울특별시 서대문구 홍은동 남대문로 65-11",영업중,,,,,
0001002896,"장씨순대국밥집","서울특별시 구로구 신도림동 관악로 130-18",영업중,,2026-03-21,"청결유지 위반","원산지 미표시",과태료
0001002896,"장씨순대국밥집","서울특별시 구로구 신도림동 관악로 130-18",영업중,,2020-08-04,"시설기준 위반","유통기한 경과 식품 보관",경고
0001002896,"장씨순대국밥집","서울특별시 구로구 신도림동 관악로 130-18",영업중,,2024-02-05,"시설기준 위반","조리사 면허 미취득 조리",영업정지2개월
0001002896,"장씨순대국밥집","서울특별시 구로구 신도림동 관악로 130-18",영업중,,2022-11-01,"위생관리기준 위반","원산지 미표시",경고
0001002896,"장씨순대국밥집","서울특별시 구로구 신도림동 관악로 130-18",영업중,,2024-04-09,"영업자 준수사항 위반","식품접촉 기구 위생 불량",경고
0001002896,"장씨순대국밥집","서울특별시 구로구 신도림동 관악로 130-18",영업중,,2025-04-13,"시설기준 위반","식품첨가물 사용기준 위반",경고
0001002897,"스테이크836번지전문점","서울특별시 금천구 독산동 남대문로 181-13",영업중,,2025-07-20,"시설기준 위반","음식물 쓰레기 처리 위반",과태료
0001002897,"스테이크836번지전문점","서울특별시 금천구 독산동 남대문로 181-13",영업중,,2026-01-17,"위생관리기준 위반","원산지 미표시",경고
0001002898,"즐거운 낙지볶음","서울특별시 노원구 하계동 보라매로 138-15",영업중,,,,,
0001002899,"갈치조림115번지원","서울특별시 강북구 번동 인수봉로 112-17",영업중,,,,,
0001002900,"조씨한정식집","서울특별시 동대문구 용두동 목동로 142-7 5층",영업중,,,,,
0001002901,"한씨한식백반전문점","서울특별시 성북구 길음동 신림로 157-9",영업중,,,,,
0001002902,"회52번지본점","서울특별시 강남구 압구정동 보라매로 163-11",영업중,,,,,
0001002903,"사장님곱창세상","서울특별시 광진구 구의동 서강대로 102-6",영업중,,,,,
0001002904,"어머니 갈치조림","서울특별시 광진구 화양동 양재천로 198-9",영업중,,,,,
0001002905,"홍대순대직영점","서울특별시 은평구 녹번동 선유로 65-12 3층",영업중,,,,,
0001002906,"치킨직영점","서울특별시 도봉구 창동 서강대로 86-7",영업중,,2023-07-10,"시설기준 위반","원산지 미표시",시정명령
0001002906,"치킨직영점","서울특별시 도봉구 창동 서강대로 86-7",영업중,,2026-02-24,"시설기준 위반","원산지 미표시",과태료
0001002907,"튀김445번지마당","서울특별시 성북구 길음동 보라매로 17-9 3층",영업중,,,,,
0001002908,"이태원 보쌈","서울특별시 노원구 상계동 관악로 180-4",영업중,,,,,
0001002909,"오씨보쌈마당","서울특별시 마포구 연남동 홍대앞길 141-3",영업중,,2019-08-14,"시설기준 위반","원산지 미표시",시정명령
0001002910,"전통비빔밥직영점","서울특별시 마포구 연남동 당산로 74-19",영업중,,,,,
0001002911,"이태원우동집","서울특별시 성동구 성수동 아리수로 16-19",영업중,,,,,
0001002912,"제육볶음582번지식당","서울특별시 서대문구 남가좌동 세종대로 195-3",영업중,,,,,
0001002913,"한정식집","서울특별시 성북구 정릉동 길동로 156-10",폐업,2024-01-14,2022-04-07,"유통기한 경과 제품 사용","식품첨가물 사용기준 위반",과태료
